species,natsub,a0,a1,a2,b1,b2,b3,b4,b5,k7,k8
PL,5,1.033572,0.913621,1.000765,0.256633,-0.049091,-0.252118,0.174267,0.123722,0.189744,1.04681
PL,6,0.957164,0.959992,0.999774,0.766747,-0.140758,0.666037,-0.35505,0.13214,0.294015,1.024582
PL,7,0.800648,1.053544,0.995568,0.568347,-0.125114,0.610085,-0.238442,0.045398,0.240347,1.020105
PL,8,0.800648,1.053544,0.995568,0.568347,-0.125114,0.610085,-0.238442,0.045398,0.240347,1.020105
PL,9,0.957164,0.959992,0.999774,0.766747,-0.140758,0.666037,-0.35505,0.13214,0.294015,1.024582
PL,10,0.828665,1.024196,0.997492,0.596193,-0.118777,0.465591,-0.196176,0.083094,0.308258,1.024549
PL,11,0.957164,0.959992,0.999774,0.766747,-0.140758,0.666037,-0.35505,0.13214,0.294015,1.024582
PL,12,1.033572,0.913621,1.000765,0.256633,-0.049091,-0.252118,0.174267,0.123722,0.189744,1.04681
PL,13,1.033572,0.913621,1.000765,0.256633,-0.049091,-0.252118,0.174267,0.123722,0.189744,1.04681
PL,14,0.957164,0.959992,0.999774,0.766747,-0.140758,0.666037,-0.35505,0.13214,0.294015,1.024582
PL,15,1.033572,0.913621,1.000765,0.256633,-0.049091,-0.252118,0.174267,0.123722,0.189744,1.04681
PL,16,1.033572,0.913621,1.000765,0.256633,-0.049091,-0.252118,0.174267,0.123722,0.189744,1.04681
PL,17,0.897617,0.988518,0.998735,0.675759,-0.130313,0.570634,-0.275457,0.105403,0.283173,1.025305
PL,18,0.897617,0.988518,0.998735,0.675759,-0.130313,0.570634,-0.275457,0.105403,0.283173,1.025305
PL,19,0.897617,0.988518,0.998735,0.675759,-0.130313,0.570634,-0.275457,0.105403,0.283173,1.025305
PL,20,0.897617,0.988518,0.998735,0.675759,-0.130313,0.570634,-0.275457,0.105403,0.283173,1.025305
SB,0,0.940695,0.957211,0.99964,1.395784,-0.344672,2.835917,-1.39646,0.152487,0.382746,1.033405
SB,1,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,2,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,3,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,4,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,5,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,6,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,7,0.957624,0.94674,1.000452,1.430462,-0.356702,2.950725,-1.455471,0.154263,0.414614,1.030781
SB,8,0.957624,0.94674,1.000452,1.430462,-0.356702,2.950725,-1.455471,0.154263,0.414614,1.030781
SB,9,0.957624,0.94674,1.000452,1.430462,-0.356702,2.950725,-1.455471,0.154263,0.414614,1.030781
SB,10,0.957624,0.94674,1.000452,1.430462,-0.356702,2.950725,-1.455471,0.154263,0.414614,1.030781
